x1,x2,x3,x4,y1,y2,y3,y4,q1,q2,q3,q4
259,103,358,187,0,102,122,200,112,66,91,23
213,71,326,172,2,52,167,183,101,77,99,21
276,61,370,133,0,56,82,140,115,66,76,22
133,168,242,278,0,149,155,328,107,67,117,20
253,165,398,317,199,168,399,335,91,66,114,21
191,155,296,251,0,155,127,288,110,62,107,20
209,141,315,232,0,140,113,259,111,63,102,23
239,168,330,240,0,172,62,266,116,52,92,21
283,5,378,82,0,3,75,87,118,69,65,21
328,190,400,281,92,202,212,292,104,50,96,21
182,85,313,213,51,49,266,228,99,77,112,21
259,80,355,159,0,74,101,169,113,67,85,23
126,164,229,261,0,151,70,315,107,66,113,23
307,44,398,125,20,48,130,135,111,67,76,24
325,26,399,115,50,35,160,124,109,69,75,24
114,90,230,208,0,36,142,233,108,78,113,23
257,42,399,202,199,35,400,210,91,78,107,24
212,185,345,324,150,189,379,359,84,63,119,23
258,193,377,295,59,201,213,317,104,56,112,24
219,77,325,172,0,59,148,183,110,75,97,24
217,192,318,283,0,207,120,316,111,55,110,20
266,193,378,293,43,206,187,310,102,55,103,21
257,124,350,197,0,122,87,212,109,60,88,23
209,48,308,129,0,21,52,133,117,77,86,23
264,141,350,202,0,143,55,220,117,50,79,20
244,177,353,267,8,187,153,296,110,59,102,20
294,198,400,311,130,206,290,324,92,54,115,24
188,167,293,262,0,173,117,302,111,61,108,20
299,77,395,159,23,81,138,170,104,66,82,22
240,104,376,231,111,97,301,246,89,73,108,21
248,100,390,234,130,97,319,246,86,73,107,23
315,76,400,181,113,86,252,192,96,72,94,20
212,51,321,147,0,30,120,149,112,79,95,23
182,157,294,259,0,156,149,298,104,66,112,22
290,3,397,100,41,2,170,106,108,79,82,22
184,138,288,220,0,130,60,249,114,66,100,20
148,167,252,269,0,166,111,318,111,65,113,22
220,192,326,296,16,204,177,323,102,56,112,20
163,148,281,272,37,136,256,307,99,69,117,20
115,103,241,227,1,52,186,253,106,77,115,21
99,105,228,226,0,49,236,255,96,78,117,20
172,141,285,246,0,129,170,286,106,70,112,21
184,126,279,208,0,95,45,236,116,68,98,20
262,161,383,265,76,169,234,288,99,62,105,24
233,168,335,259,1,176,144,287,103,60,101,23
102,181,205,286,0,183,79,354,112,62,118,21
164,162,268,258,0,161,98,296,113,61,109,24
230,82,386,242,180,78,399,254,83,75,113,22
234,167,359,286,82,167,261,309,95,64,112,24
270,129,365,196,0,127,76,211,114,52,81,24
282,45,398,170,134,39,300,182,92,77,100,20
192,145,305,251,0,141,170,280,102,67,110,21
257,72,366,167,12,66,150,177,109,74,94,20
230,154,336,247,1,159,146,277,104,61,102,24
192,192,283,274,0,204,51,318,111,54,107,23
222,193,335,296,19,205,183,330,105,56,116,22
221,174,340,282,36,181,207,310,98,62,110,21
172,188,286,305,4,196,206,347,102,62,116,23
209,191,324,307,39,201,217,332,97,56,114,23
276,196,389,286,38,210,171,306,108,51,105,20
254,194,363,284,24,207,165,310,105,52,112,21
182,84,336,235,160,42,399,247,82,79,115,21
235,50,366,173,76,40,253,182,101,79,101,24
250,38,342,113,0,22,51,114,117,70,74,24
275,196,390,286,42,209,176,307,102,53,104,24
285,135,398,238,80,143,223,252,96,64,100,24
